,time,ftime,type,location_type,location
0,1604910410,09.11 09:26:50,nakládka,,
1,1604910481,09.11 09:28:01,vykládka,sklad,B-01 07-12
2,1604910498,09.11 09:28:18,nakládka,,
3,1604910558,09.11 09:29:18,vykládka,sklad,B-01 07-12
4,1604910576,09.11 09:29:36,nakládka,,
5,1604910612,09.11 09:30:12,vykládka,sklad,B-01 07-12
6,1604910630,09.11 09:30:30,nakládka,,
7,1604910675,09.11 09:31:15,vykládka,sklad,B-01 07-12
8,1604910694,09.11 09:31:34,nakládka,,
9,1604910741,09.11 09:32:21,vykládka,sklad,B-01 07-12
10,1604910757,09.11 09:32:37,nakládka,,
11,1604910801,09.11 09:33:21,vykládka,sklad,B-01 07-12
12,1604910828,09.11 09:33:48,nakládka,,
13,1604910886,09.11 09:34:46,vykládka,,
14,1604910896,09.11 09:34:56,nakládka,sklad,B-01 01-07
15,1604910934,09.11 09:35:34,vykládka,sklad,B-01 07-12
16,1604910950,09.11 09:35:50,nakládka,,
17,1604911005,09.11 09:36:45,vykládka,sklad,B-01 07-12
18,1604911086,09.11 09:38:06,nakládka,,
19,1604911127,09.11 09:38:47,vykládka,,
20,1604911140,09.11 09:39:00,nakládka,,
21,1604911185,09.11 09:39:45,vykládka,sklad,B-01 07-12
22,1604911205,09.11 09:40:05,nakládka,,
23,1604911250,09.11 09:40:50,vykládka,,
24,1604911264,09.11 09:41:04,nakládka,,
25,1604911307,09.11 09:41:47,vykládka,sklad,B-01 07-12
26,1604911447,09.11 09:44:07,nakládka,,
27,1604911493,09.11 09:44:53,vykládka,sklad,B-01 07-12
28,1604911899,09.11 09:51:39,nakládka,,
29,1604912033,09.11 09:53:53,vykládka,budova,nejaka dilna
30,1604912936,09.11 10:08:56,nakládka,,
31,1604912976,09.11 10:09:36,vykládka,sklad,B-01 07-12
32,1604912993,09.11 10:09:53,nakládka,,
33,1604913028,09.11 10:10:28,vykládka,sklad,B-01 07-12
34,1604913044,09.11 10:10:44,nakládka,sklad,B-01 01-07
35,1604913084,09.11 10:11:24,vykládka,sklad,B-01 07-12
36,1604913097,09.11 10:11:37,nakládka,,
37,1604913137,09.11 10:12:17,vykládka,sklad,B-01 07-12
38,1604913174,09.11 10:12:54,nakládka,,
39,1604913214,09.11 10:13:34,vykládka,sklad,B-01 07-12
40,1604913240,09.11 10:14:00,nakládka,,
41,1604913283,09.11 10:14:43,vykládka,,
42,1604913295,09.11 10:14:55,nakládka,budova,Hala schlosser
43,1604913348,09.11 10:15:48,vykládka,sklad,B-01 07-12
44,1604913365,09.11 10:16:05,nakládka,budova,Hala schlosser
45,1604913405,09.11 10:16:45,vykládka,,
46,1604913419,09.11 10:16:59,nakládka,,
47,1604913520,09.11 10:18:40,vykládka,,
48,1604913663,09.11 10:21:03,nakládka,budova,Hala schlosser
49,1604913704,09.11 10:21:44,vykládka,,
50,1604914543,09.11 10:35:43,nakládka,,
51,1604914578,09.11 10:36:18,vykládka,sklad,B-01 07-12
52,1604914704,09.11 10:38:24,nakládka,,
53,1604914749,09.11 10:39:09,vykládka,sklad,B-01 07-12
54,1604914767,09.11 10:39:27,nakládka,,
55,1604914802,09.11 10:40:02,vykládka,sklad,B-01 07-12
56,1604914817,09.11 10:40:17,nakládka,,
57,1604914853,09.11 10:40:53,vykládka,sklad,B-01 07-12
58,1604914869,09.11 10:41:09,nakládka,,
59,1604914912,09.11 10:41:52,vykládka,sklad,B-01 07-12
60,1604914974,09.11 10:42:54,nakládka,,
61,1604914987,09.11 10:43:07,vykládka,,
62,1604914992,09.11 10:43:12,nakládka,,
63,1604915085,09.11 10:44:45,vykládka,,
64,1604915203,09.11 10:46:43,nakládka,,
65,1604915271,09.11 10:47:51,vykládka,sklad,B-01 07-12
66,1604915451,09.11 10:50:51,nakládka,,
67,1604915494,09.11 10:51:34,vykládka,sklad,B-01 07-12
68,1604915717,09.11 10:55:17,nakládka,,
69,1604915758,09.11 10:55:58,vykládka,sklad,B-01 07-12
70,1604915937,09.11 10:58:57,nakládka,,
71,1604915981,09.11 10:59:41,vykládka,sklad,B-01 07-12
72,1604916020,09.11 11:00:20,nakládka,sklad,B-01 07-12
73,1604916075,09.11 11:01:15,vykládka,,
74,1604916138,09.11 11:02:18,nakládka,,
75,1604916183,09.11 11:03:03,vykládka,sklad,B-01 07-12
76,1604916478,09.11 11:07:58,nakládka,,
77,1604916491,09.11 11:08:11,vykládka,,
78,1604916495,09.11 11:08:15,nakládka,,
79,1604916531,09.11 11:08:51,vykládka,sklad,B-01 07-12
80,1604916548,09.11 11:09:08,nakládka,,
81,1604916607,09.11 11:10:07,vykládka,sklad,B-01 07-12
82,1604916755,09.11 11:12:35,nakládka,,
83,1604916802,09.11 11:13:22,vykládka,sklad,B-01 07-12
84,1604916965,09.11 11:16:05,nakládka,,
85,1604917016,09.11 11:16:56,vykládka,sklad,B-01 07-12
86,1604917164,09.11 11:19:24,nakládka,,
87,1604917202,09.11 11:20:02,vykládka,sklad,B-01 07-12
88,1604917275,09.11 11:21:15,nakládka,budova,Hala schlosser
89,1604917336,09.11 11:22:16,vykládka,sklad,B-01 07-12
90,1604917784,09.11 11:29:44,nakládka,,
91,1604917826,09.11 11:30:26,vykládka,sklad,B-01 07-12
92,1604917842,09.11 11:30:42,nakládka,,
93,1604917885,09.11 11:31:25,vykládka,sklad,B-01 07-12
2054,1606371254,26.11 07:14:14,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2055,1606371257,26.11 07:14:17,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2056,1606371259,26.11 07:14:19,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2057,1606371261,26.11 07:14:21,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2058,1606371265,26.11 07:14:25,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2059,1606372732,26.11 07:38:52,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2060,1606372780,26.11 07:39:40,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2061,1606372849,26.11 07:40:49,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2062,1606372934,26.11 07:42:14,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2063,1606373139,26.11 07:45:39,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2064,1606373212,26.11 07:46:52,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2065,1606373518,26.11 07:51:58,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2066,1606373940,26.11 07:59:00,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2067,1606374020,26.11 08:00:20,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2068,1606376247,26.11 08:37:27,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2069,1606376336,26.11 08:38:56,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2070,1606376427,26.11 08:40:27,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2071,1606376493,26.11 08:41:33,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2072,1606376576,26.11 08:42:56,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2073,1606377959,26.11 09:05:59,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2074,1606378424,26.11 09:13:44,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2075,1606378506,26.11 09:15:06,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2076,1606378592,26.11 09:16:32,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2077,1606378693,26.11 09:18:13,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2078,1606378784,26.11 09:19:44,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2079,1606378851,26.11 09:20:51,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2080,1606378964,26.11 09:22:44,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2081,1606379074,26.11 09:24:34,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2082,1606379742,26.11 09:35:42,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2083,1606379744,26.11 09:35:44,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2084,1606379745,26.11 09:35:45,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2085,1606379747,26.11 09:35:47,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2086,1606379748,26.11 09:35:48,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2087,1606379750,26.11 09:35:50,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2088,1606380501,26.11 09:48:21,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2089,1606380577,26.11 09:49:37,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2090,1606380651,26.11 09:50:51,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2091,1606380726,26.11 09:52:06,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2092,1606381613,26.11 10:06:53,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2093,1606382036,26.11 10:13:56,operace,stroj/umisteni,B-06-01-01/B-01-01-12
2094,1606382104,26.11 10:15:04,operace,stroj/umisteni,B-06-01-01/B-01-01-02
2095,1606382179,26.11 10:16:19,operace,stroj/umisteni,B-06-01-01/B-01-01-02
2096,1606382237,26.11 10:17:17,operace,stroj/umisteni,B-06-01-01/B-01-01-02
