zarizeni,uzivatel,lokace_pred,lokace_pred_typ,lokace_po,lokace_po_typ,cas_klient,cas_server,typ_operace,vyrobek
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371276275,1606371253830,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371279394,1606371256922,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371281013,1606371258505,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371283498,1606371261018,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371286883,1606371265399,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372754648,1606372732276,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372802421,1606372780066,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372871100,1606372848844,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372955680,1606372933263,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373161288,1606373140608,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373234468,1606373212031,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373540243,1606373518916,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373961815,1606373939576,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606374042150,1606374019820,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376269261,1606376246867,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376357839,1606376335507,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376449156,1606376426773,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376515455,1606376493413,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376598233,1606376575802,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606377981319,1606377958946,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378446049,1606378423622,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378528166,1606378505833,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378614433,1606378592130,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378715013,1606378692945,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378806746,1606378784467,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378873656,1606378851448,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378986799,1606378964612,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379096645,1606379074351,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379764639,1606379742279,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379766208,1606379743795,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379767723,1606379745279,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379769333,1606379746937,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379770524,1606379748055,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606379772136,1606379749707,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606380523053,1606380500729,prijem,944
DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606380598913,1606380576864,prijem,944
