,Unnamed: 0,zarizeni,uzivatel,lokace_pred,lokace_pred_typ,lokace_po,lokace_po_typ,cas_klient,cas_server,typ_operace,vyrobek,t_diff,corr_t_diff,cas_real,jizda,prev_vykladka_dt,next_nakladka_dt,prev_nakladka_dt,next_vykladka_dt,next_nakladka_vzdalenost,prev_nakladka_vzdalenost
0,0,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371276275,1606371253830,prijem,944,"-22,445","-22,15",1606371254125,,,,,,,
1,1,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371279394,1606371256922,prijem,944,"-22,472","-22,15",1606371257244,,,,,,,
2,2,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371281013,1606371258505,prijem,944,"-22,508","-22,15",1606371258863,,,,,,,
3,3,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371283498,1606371261018,prijem,944,"-22,48","-22,15",1606371261348,,,,,,,
4,4,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606371286883,1606371265399,prijem,944,"-21,484","-22,15",1606371264733,,,,,,,
5,5,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372754648,1606372732276,prijem,944,"-22,372","-22,15",1606372732498,,,,,,,
6,6,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372802421,1606372780066,prijem,944,"-22,355","-22,15",1606372780271,,,,,,,
7,7,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372871100,1606372848844,prijem,944,"-22,256","-22,15",1606372848950,,,,,,,
8,8,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606372955680,1606372933263,prijem,944,"-22,417","-22,14",1606372933540,,,,,,,
9,9,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373161288,1606373140608,prijem,944,"-20,68","-22,13",1606373139158,,,,,,,
10,10,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373234468,1606373212031,prijem,944,"-22,437","-22,1",1606373212368,,,,,,,
11,11,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373540243,1606373518916,prijem,944,"-21,327","-22,1",1606373518143,,,,,,,
12,12,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606373961815,1606373939576,prijem,944,"-22,239","-22,16",1606373939655,,,,,,,
13,13,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606374042150,1606374019820,prijem,944,"-22,33","-22,16",1606374019990,,,,,,,
14,14,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376269261,1606376246867,prijem,944,"-22,394","-22,16",1606376247101,,,,,,,
15,15,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376357839,1606376335507,prijem,944,"-22,332","-22,16",1606376335679,,,,,,,
16,16,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376449156,1606376426773,prijem,944,"-22,383","-22,14",1606376427016,,,,,,,
17,17,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376515455,1606376493413,prijem,944,"-22,042","-22,25",1606376493205,,,,,,,
18,18,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606376598233,1606376575802,prijem,944,"-22,431","-22,23",1606376576003,,,,,,,
19,19,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606377981319,1606377958946,prijem,944,"-22,373","-22,29",1606377959029,,,,,,,
20,20,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378446049,1606378423622,prijem,944,"-22,427","-22,29",1606378423759,,,,,,,
21,21,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378528166,1606378505833,prijem,944,"-22,333","-22,29",1606378505876,,,,,,,
22,22,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378614433,1606378592130,prijem,944,"-22,303","-22,3",1606378592133,,,,,,,
23,23,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378715013,1606378692945,prijem,944,"-22,068","-22,3",1606378692713,,,,,,,
24,24,DEV01,19907,B-06-01-01,stroj,B-01-01-12,umisteni,1606378806746,1606378784467,prijem,944,"-22,279","-22,3",1606378784446,,,,,,,
