,beat,end_beat,duration,se_distance
0,1606387124,1606387177,53,17.072582500832088
1,1606387356,1606387445,89,69.44820180125228
2,1606389773,1606389783,10,35.8309646389733
3,1606389832,1606389891,59,16.61877922125672
4,1606389903,1606389960,57,19.91287609446541
5,1606390046,1606390113,67,10.131468743689073
6,1606390140,1606390194,54,15.687753726659148
7,1606390299,1606390368,69,24.38037578678315
8,1606390373,1606390384,11,16.620033878687018
9,1606390405,1606390490,85,29.654801775773084
10,1606390535,1606390572,37,15.805090264493188
11,1606390588,1606390639,51,14.330114331675174
12,1606390868,1606390918,50,10.185323030635162
13,1606390934,1606390949,15,10.649473520916093
14,1606390955,1606391022,67,31.37169627765911
15,1606391047,1606391095,48,24.01409124765641
16,1606391124,1606391182,58,26.00730727872111
17,1606391210,1606391251,41,26.096941454488825
18,1606391503,1606391561,58,12.121646843410648
19,1606392608,1606392773,165,102.66530924595675
20,1606392835,1606392918,83,99.65923476530689
21,1606393072,1606393087,15,15.759757492106658
22,1606393756,1606393884,128,90.50673065122491
23,1606393933,1606393942,9,37.609755836268604
24,1606395241,1606395277,36,10.098444390177294
25,1606395286,1606395374,88,155.80064843284495
26,1606395378,1606395398,20,12.176579520380148
27,1606395405,1606395451,46,20.330093160798786
28,1606395593,1606395707,114,172.4382435759602
29,1606396003,1606396116,113,169.58928433742793
30,1606396367,1606396461,94,193.77879463635722
31,1606396522,1606396591,69,73.37689356221098
32,1606396985,1606397048,63,78.86986659743506
33,1606397068,1606397093,25,10.024037535781712
34,1606397161,1606397268,107,172.27027906370364
35,1606398134,1606398227,93,166.2262313782877
36,1606398291,1606398365,74,143.31026536063047
37,1606398666,1606398675,9,10.155318794471464
38,1606398728,1606398825,97,145.52655637080656
39,1606398983,1606399158,175,151.71004172611964
40,1606399329,1606399478,149,153.45034144427171
41,1606399635,1606399737,102,142.85963963078646
42,1606399909,1606400003,94,149.98637280672045
43,1606457200,1606457243,43,11.85118435756379
44,1606458197,1606458207,10,33.916055366579926
45,1606458226,1606458321,95,66.4787955411008
46,1606459404,1606459506,102,71.3315725200262
47,1606459578,1606459671,93,69.87837629562249
48,1606459782,1606459942,160,69.20446757482534
49,1606460203,1606460253,50,64.99795213747844
50,1606461029,1606461058,29,40.181059982016066
51,1606461214,1606461298,84,61.31068067932399
52,1606461774,1606461908,134,120.56035111981697
53,1606461972,1606462034,62,38.89264250674215
54,1606462088,1606462131,43,31.562974067957427
55,1606462154,1606462227,73,34.869987790116674
56,1606462252,1606462333,81,24.412370236830448
57,1606462461,1606462490,29,11.376263828906039
58,1606462934,1606462981,47,43.26230194754477
59,1606463038,1606463085,47,16.641484253495957
60,1606463193,1606463265,72,69.7927252033474
61,1606464724,1606464788,64,11.967126200611304
62,1606467436,1606467486,50,148.80777321702934
63,1606469838,1606469848,10,19.137802071428016
64,1606470902,1606470979,77,65.49827198162248
65,1606471030,1606471110,80,60.168386591229954
66,1606471211,1606471274,63,11.947907405582983
67,1606471419,1606471457,38,40.36978715103353
68,1606471637,1606471809,172,156.551906629074
69,1606471946,1606472129,183,191.99063754258555
70,1606472251,1606472349,98,88.76510827938894
71,1606472448,1606472558,110,153.57460430849102
72,1606472677,1606472712,35,15.22625032074084
73,1606475143,1606475155,12,11.430534204587577
74,1606475362,1606475409,47,17.072861910016382
75,1606475424,1606475464,40,18.132080663946535
76,1606475492,1606475533,41,13.921196679409677
77,1606475581,1606475630,49,13.02354321494194
78,1606475641,1606475675,34,17.847127975870105
79,1606475686,1606475735,49,14.705658434829818
80,1606475746,1606475793,47,17.329021104832723
81,1606475811,1606475854,43,19.39137234478801
82,1606475871,1606475929,58,22.03025366220281
83,1606475953,1606475996,43,18.797003099379552
84,1606476016,1606476067,51,16.07240770738121
85,1606476164,1606476210,46,16.126677122856357
86,1606476232,1606476286,54,15.531952549611537
87,1606476307,1606476374,67,14.611405512065623
88,1606476427,1606476451,24,12.714167265849234
89,1606476473,1606476552,79,34.16767638076707
90,1606476559,1606476615,56,22.714050071302225
91,1606476725,1606476792,67,14.566117080601773
92,1606477037,1606477164,127,65.2988226705027
93,1606477310,1606477374,64,171.97832449126938
94,1606477526,1606477645,119,55.37713971676423
95,1606477835,1606477868,33,23.320621972272658
96,1606477883,1606478002,119,119.97259723063782
97,1606478338,1606478412,74,123.39491537081904
98,1606478470,1606478539,69,93.38262124173053
99,1606478587,1606478690,103,143.99736188844793
100,1606478755,1606478853,98,79.9953907818539
101,1606479020,1606479033,13,52.31821474775999
102,1606479035,1606479049,14,45.485905959723
103,1606479203,1606479292,89,150.33787802833916
104,1606479417,1606479504,87,152.46664484216578
105,1606479653,1606479741,88,151.21206858029154
106,1606479888,1606479977,89,90.94219533838223
107,1606480047,1606480115,68,94.5241784353705
108,1606480172,1606480310,138,95.22578506956914
109,1606716927,1606717077,150,135.33138978662947
110,1606717808,1606717932,124,72.74128733774008
111,1606718054,1606718181,127,70.54076653697153
112,1606718573,1606718684,111,74.17836121238423
113,1606718781,1606718838,57,20.391072807081198
114,1606718885,1606718981,96,24.539911852332093
115,1606719034,1606719127,93,65.77714156826345
116,1606719656,1606719770,114,67.61091856933709
117,1606719831,1606719948,117,67.27127804508417
118,1606720007,1606720162,155,195.96848987255746
119,1606720255,1606720292,37,10.580038368333378
120,1606720302,1606720424,122,84.45901725141546
121,1606720515,1606720616,101,114.12677961574185
122,1606720730,1606720811,81,62.23643304759641
123,1606720960,1606721107,147,156.0302589972748
124,1606722197,1606722246,49,25.165731235742506
125,1606722323,1606722423,100,64.19598314443141
126,1606722565,1606722704,139,60.663186207752865
127,1606722785,1606722921,136,190.77035244074008
128,1606722968,1606723023,55,24.615328001028683
129,1606723040,1606723108,68,27.357756391696128
130,1606723189,1606723296,107,187.37903934373995
131,1606725165,1606725173,8,33.56574473362111
132,1606725228,1606725252,24,30.443152314341713
133,1606725264,1606725326,62,144.30051432471257
134,1606725364,1606725420,56,36.44569941527539
135,1606725440,1606725484,44,33.90474747430803
136,1606725537,1606725584,47,31.994720127799805
137,1606725610,1606725652,42,23.396248426165524
138,1606725668,1606725717,49,25.620322593145456
139,1606725742,1606725797,55,31.06471204761386
140,1606725816,1606725864,48,30.65378743357153
141,1606726504,1606726542,38,29.546138483134566
142,1606726762,1606726780,18,11.720190710575272
143,1606726828,1606726868,40,12.434894493971939
144,1606726881,1606726915,34,18.23838977945741
145,1606727355,1606727381,26,13.735964683611034
146,1606727919,1606727957,38,13.315198337328987
147,1606728037,1606728079,42,37.78436259091121
148,1606728099,1606728200,101,101.38135489790032
149,1606728306,1606728353,47,32.1073686372043
150,1606728389,1606728444,55,28.596172929633227
151,1606728539,1606728591,52,17.636808941189955
152,1606728723,1606728748,25,20.850821186863868
153,1606728817,1606728861,44,25.461963872063578
154,1606728871,1606728902,31,24.849689631018553
155,1606728916,1606728956,40,34.92389138855293
156,1606728983,1606729053,70,34.1558141919789
157,1606729110,1606729163,53,11.25891097425536
158,1606729206,1606729267,61,72.92776548216013
159,1606729328,1606729388,60,65.18723008494487
160,1606729412,1606729475,63,78.64005933928964
161,1606729520,1606729588,68,81.81574554446092
162,1606730538,1606730640,102,68.3303453213115
163,1606731170,1606731331,161,10.777142481497867
164,1606731363,1606731381,18,13.355079884403727
165,1606731382,1606731397,15,55.73913293820167
166,1606734771,1606734818,47,13.254645908876295
167,1606734835,1606734959,124,16.849411329306246
168,1606735002,1606735105,103,11.114341826336048
169,1606735746,1606735784,38,10.607655550344425
170,1606736062,1606736096,34,13.942418007661715
171,1606736113,1606736143,30,16.584273143804317
172,1606736151,1606736195,44,10.129362194168165
173,1606736205,1606736241,36,15.86015159426488
174,1606736253,1606736292,39,14.534353051421716
175,1606736372,1606736393,21,17.17470470621781
176,1606736422,1606736476,54,20.77890311215443
177,1606736495,1606736545,50,22.225876496922222
178,1606736563,1606736608,45,21.523372254115234
179,1606736635,1606736680,45,14.526886158600718
180,1606736707,1606736750,43,21.91592572526402
181,1606736774,1606736804,30,20.516825933846636
182,1606736893,1606736948,55,12.739246891893817
183,1606737045,1606737101,56,12.89999631090541
184,1606737125,1606737248,123,16.179283251871098
185,1606737480,1606737497,17,78.13737141003618
186,1606737834,1606737848,14,44.40150631584948
187,1606737854,1606737948,94,94.61016925724996
188,1606738007,1606738099,92,92.94049647312622
189,1606738191,1606738273,82,94.64954648884192
190,1606738333,1606738421,88,162.30054945291545
191,1606738615,1606738625,10,55.750283868996554
192,1606738645,1606738737,92,164.669705481618
193,1606738810,1606738859,49,88.48284750334652
194,1606738884,1606738925,41,22.13521985591936
195,1606739069,1606739209,140,188.8726585692402
196,1606739542,1606739667,125,164.66739718155893
197,1606739775,1606739836,61,95.26853652734204
198,1606739844,1606739941,97,166.81400254862805
199,1606740127,1606740319,192,91.46948553331889
200,1606740325,1606740341,16,23.983255654986294
201,1606740348,1606740367,19,12.092404742049863
202,1606740385,1606740503,118,146.56878005063987
203,1606740599,1606740641,42,19.70627987114517
204,1606740677,1606740724,47,54.39119469605541
205,1606741109,1606741120,11,38.55269473865478
206,1606741130,1606741142,12,64.45702378584777
207,1606741759,1606741860,101,150.41080715007635
208,1606741916,1606742031,115,94.39611245797448
209,1606742274,1606742435,161,89.86159745905339
210,1606742497,1606742514,17,54.913640620819265
211,1606742528,1606742662,134,100.03241748332512
212,1606742820,1606742834,14,36.08812550415867
213,1606742837,1606742974,137,141.8080372223557
214,1606742976,1606743033,57,10.332972546232627
215,1606743171,1606743281,110,139.32393382956243
216,1606743339,1606743348,9,28.325595695512764
217,1606743353,1606743451,98,140.37414865275667
218,1606743510,1606743518,8,21.96577067324489
219,1606743546,1606743641,95,144.96158463108029
220,1606743693,1606743708,15,36.81956716474231
221,1606743977,1606744114,137,96.85228694080322
222,1606745205,1606745358,153,140.8883390948518
223,1606745439,1606745545,106,136.93869207419272
224,1606745626,1606745723,97,144.25729473360133
225,1606745791,1606745805,14,31.31021571848659
226,1606745808,1606745920,112,138.66597469917343
227,1606746000,1606746105,105,140.02093002689867
228,1606746181,1606746326,145,140.76699794011105
229,1606746425,1606746535,110,140.765521894255
230,1606746610,1606746619,9,31.119608875633016
231,1606802709,1606802755,46,18.726824522689643
232,1606804802,1606804879,77,59.284959739120644
233,1606804940,1606805032,92,60.805457064572145
234,1606805090,1606805197,107,70.02773687215544
235,1606805361,1606805488,127,69.35576347949595
236,1606805545,1606805623,78,76.32983684139359
237,1606805715,1606805877,162,193.85486564348574
238,1606806015,1606806116,101,70.33985955403858
239,1606806171,1606806299,128,67.91865648599813
240,1606806351,1606806497,146,66.27283018786349
241,1606806551,1606806635,84,65.7734088556952
242,1606806696,1606806775,79,64.21849207260496
243,1606806844,1606807042,198,189.30868217130114
244,1606808484,1606808622,138,93.54443845305056
245,1606809189,1606809198,9,31.53276658177505
246,1606809857,1606809866,9,30.227572892709887
247,1606809938,1606809970,32,30.32097273983385
248,1606810005,1606810103,98,98.00468616305302
249,1606810648,1606810674,26,11.283069089953294
250,1606810681,1606810723,42,56.733479571753804
251,1606810756,1606810766,10,10.835661212560034
252,1606810845,1606810877,32,40.606420548449734
253,1606810967,1606811037,70,72.72406300822256
254,1606811122,1606811153,31,25.436386583326907
255,1606811327,1606811419,92,70.63780404031093
256,1606812172,1606812218,46,21.97980789224735
257,1606813536,1606813576,40,14.511653861775974
258,1606813753,1606813818,65,72.7846287412027
259,1606814835,1606814882,47,34.21419080436822
260,1606814981,1606815044,63,36.587244686754346
261,1606815092,1606815125,33,36.49661579655802
262,1606815143,1606815188,45,32.66379333822232
263,1606815293,1606815341,48,32.13463801880206
264,1606815357,1606815426,69,39.39584276958475
265,1606815508,1606815586,78,36.30660636406707
266,1606815628,1606815671,43,24.239056782507603
267,1606815686,1606815738,52,21.653524316238688
268,1606815750,1606815800,50,27.36762944597349
269,1606815869,1606815906,37,12.416790394545355
270,1606815932,1606815996,64,19.066483873385447
271,1606816114,1606816177,63,75.72780334280186
272,1606816324,1606816372,48,58.87626133862836
273,1606816396,1606816445,49,57.96925356138091
274,1606816561,1606816611,50,58.46489597493322
275,1606819454,1606819481,27,10.227136114325411
276,1606819516,1606819555,39,14.138747352158902
277,1606819571,1606819622,51,13.713044630331387
278,1606819638,1606819682,44,14.557780194703058
279,1606819738,1606819773,35,17.433279666861978
280,1606819786,1606819819,33,16.095749775552957
281,1606819834,1606819895,61,10.360611935489086
282,1606819902,1606819937,35,14.289758817554437
283,1606820058,1606820085,27,21.226792765541873
284,1606820104,1606820145,41,14.379879074612242
285,1606820174,1606820217,43,20.587758265122865
286,1606820239,1606820288,49,18.564926402217573
287,1606820301,1606820356,55,17.683734929168793
288,1606820380,1606820416,36,16.51111027796929
289,1606820437,1606820486,49,14.084262638276018
290,1606820522,1606820566,44,18.097492177338054
291,1606820590,1606820648,58,12.5830963785687
292,1606820665,1606820711,46,14.765263275934362
293,1606820728,1606820771,43,13.945827740050198
294,1606820860,1606820900,40,18.367213263164714
295,1606820905,1606820914,9,11.470406247669892
296,1606820983,1606821034,51,15.147506924439808
297,1606821115,1606821201,86,98.60120018610894
298,1606821202,1606821283,81,12.261490818942983
299,1606821347,1606821465,118,67.51025646498837
300,1606821477,1606821547,70,19.898106057511004
301,1606821556,1606821605,49,17.276904479618352
302,1606821637,1606821713,76,58.77250288204567
303,1606821740,1606821818,78,58.70116826138981
304,1606821852,1606821909,57,58.833936587993456
305,1606821972,1606822033,61,55.43032156167713
306,1606822067,1606822130,63,55.79360219589085
307,1606822157,1606822244,87,57.043778330885615
308,1606822269,1606822319,50,57.197037331308096
309,1606822344,1606822402,58,56.363393334680545
310,1606822813,1606822904,91,107.49911303988966
311,1606823179,1606823188,9,29.742960793866057
312,1606823609,1606823714,105,180.71404979798032
313,1606823767,1606823809,42,11.948893001635277
314,1606824253,1606824363,110,164.73012681004178
