,beat,end_beat,duration,se_distance
0,1604910410,1604910481,71,33.86094402191835
1,1604910498,1604910558,60,35.6591900800498
2,1604910576,1604910612,36,37.11802202672844
3,1604910630,1604910675,45,37.22646879776986
4,1604910694,1604910741,47,29.51749539712393
5,1604910757,1604910801,44,30.03177038188176
6,1604910828,1604910886,58,23.83779979626307
7,1604910896,1604910934,38,29.84887145524633
8,1604910950,1604911005,55,23.30367594680668
9,1604911086,1604911127,41,21.171921609408198
10,1604911140,1604911185,45,22.282639854462058
11,1604911205,1604911250,45,18.979951559682462
12,1604911264,1604911307,43,33.93645456911375
13,1604911447,1604911493,46,26.137354925892154
14,1604911899,1604912033,134,150.6737286791373
15,1604912936,1604912976,40,29.846655183256967
16,1604912993,1604913028,35,28.379178239012266
17,1604913044,1604913084,40,28.108043604787042
18,1604913097,1604913137,40,16.23538537519032
19,1604913174,1604913214,40,34.95836383102386
20,1604913240,1604913283,43,19.08026246150336
21,1604913295,1604913348,53,18.3646965241088
22,1604913365,1604913405,40,17.694779352463982
23,1604913419,1604913520,101,145.5384630571831
24,1604913663,1604913704,41,22.34464695383786
25,1604914543,1604914578,35,25.80569011660199
26,1604914704,1604914749,45,23.374100087152208
27,1604914767,1604914802,35,21.323213361796668
28,1604914817,1604914853,36,17.969010807506823
29,1604914869,1604914912,43,20.55720428277855
30,1604914974,1604914987,13,73.06305043968452
31,1604914992,1604915085,93,132.98064897661138
32,1604915203,1604915271,68,29.99845171014467
33,1604915451,1604915494,43,18.463084556517888
34,1604915717,1604915758,41,20.640055276374206
35,1604915937,1604915981,44,18.5945893974594
36,1604916020,1604916075,55,20.60109618948187
37,1604916138,1604916183,45,18.704425887808462
38,1604916478,1604916491,13,37.28251483271762
39,1604916495,1604916531,36,20.485057707249755
40,1604916548,1604916607,59,29.91013842768496
41,1604916755,1604916802,47,19.00199243346384
42,1604916965,1604917016,51,21.681032969099117
43,1604917164,1604917202,38,22.8728359958108
44,1604917275,1604917336,61,21.934755432289542
45,1604917784,1604917826,42,18.04613157382474
46,1604917842,1604917885,43,22.482808788425434
47,1606469736,1606469927,191,16.143020606331838
48,1606469941,1606470018,77,37.62128512302092
49,1606470087,1606470186,99,107.64644043407858
50,1606470352,1606470427,75,28.606782430912844
51,1606470428,1606470452,24,15.964053176503986
52,1606470463,1606470517,54,32.12261250317833
53,1606470525,1606470585,60,41.75089005441454
54,1606470618,1606470692,74,49.64653057589424
55,1606470714,1606470771,57,43.17045016078289
56,1606470830,1606470884,54,48.29080532832603
57,1606470931,1606470971,40,44.86579353689952
58,1606471003,1606471054,51,50.51447169036112
59,1606471256,1606471311,55,50.68716593522324
60,1606471344,1606471394,50,49.02479384247789
61,1606471414,1606471465,51,40.80903307798632
62,1606471486,1606471536,50,47.974331126499436
63,1606471557,1606471610,53,45.50052832039662
64,1606471637,1606471681,44,47.74953329737018
65,1606471700,1606471747,47,45.366999235539296
66,1606471775,1606471828,53,48.13928310996702
67,1606471850,1606471915,65,48.04038548430706
68,1606471962,1606472018,56,45.89390427123868
69,1606472074,1606472124,50,45.77412393252345
70,1606472145,1606472194,49,46.54467495344626
71,1606472219,1606472274,55,47.68824348054283
72,1606472321,1606472370,49,43.5790364206753
73,1606472389,1606472447,58,44.973861503202684
74,1606472467,1606472521,54,43.655162336790134
75,1606472543,1606472599,56,42.57247195271877
76,1606472620,1606472674,54,43.26903302158206
77,1606472692,1606472732,40,41.94646201721706
78,1606472780,1606472831,51,39.912524458846974
79,1606472859,1606472917,58,39.6464505661169
80,1606472938,1606472984,46,39.90639761264787
81,1606473026,1606473076,50,37.96566797837335
82,1606473106,1606473149,43,29.090265984381404
83,1606473374,1606473383,9,19.99682143060677
84,1606473492,1606473537,45,40.78130293317994
85,1606473557,1606473618,61,36.146912491585084
86,1606473904,1606473934,30,10.15960194396457
87,1606473982,1606473991,9,30.662400507849224
88,1606474329,1606474401,72,41.35776357478843
89,1606474436,1606474485,49,42.67296133669094
90,1606474506,1606474568,62,42.211022753518264
91,1606474598,1606474646,48,41.331594988760294
92,1606474665,1606474709,44,38.70392604887407
93,1606474723,1606474809,86,41.405601814667804
94,1606474837,1606474883,46,36.297605956129416
95,1606475591,1606475610,19,56.2745606248708
96,1606476053,1606476199,146,173.09946463432175
97,1606476270,1606476315,45,44.5349962849175
98,1606476329,1606476383,54,39.66816218117568
99,1606476395,1606476438,43,39.26812860130454
100,1606476453,1606476516,63,40.686708717991465
101,1606476648,1606476699,51,36.71198886082918
102,1606476830,1606476875,45,20.223806162284657
103,1606477109,1606477151,42,18.587060473866668
104,1606477324,1606477363,39,13.90325463962422
105,1606477528,1606477612,84,66.66234319482545
106,1606477658,1606477697,39,14.584078914950878
107,1606477866,1606477918,52,39.84378419000377
