,Unnamed: 0,beat,end_beat,locLat_start,locLon_start,locLat_end,locLon_end,start,start_type,end,end_type,date,p1_minimal_dist,p2_minimal_dist,start_pbeat,p1_pbeat,p2_pbeat,end_pbeat,target
866,866,1614230488,1614230588,50.5296844,14.0708331,50.5292857,14.070942,,,B-01 07-12,sklad,2021-02-25 05:21:28,83.521368050543,44.344814256075885,40355762200,40355763254,40355763254,40355764699,-1
867,867,1614230610,1614230796,50.5296979,14.0708256,50.5290194,14.0724339,Hala schlosser,budova,A-02,sklad,2021-02-25 05:23:30,0.2902026829423733,0.8716262696008439,40355765250,40355767954,40355767354,40355769899,1
868,868,1614230840,1614230857,50.5297559,14.070881699999996,50.5296613,14.070838,Hala schlosser,budova,,,2021-02-25 05:27:20,105.81027178195848,68.988118340102,40355771000,40355771404,40355771379,40355771424,-1
869,869,1614230875,1614230971,50.529681,14.0708111,50.5290724,14.0724739,,,A-02,sklad,2021-02-25 05:27:55,2.3500491246333555,1.4518652340349676,40355771875,40355773629,40355773204,40355774274,1
870,870,1614231006,1614231106,50.5297607,14.0709169,50.5290732,14.0724619,Hala schlosser,budova,A-02,sklad,2021-02-25 05:30:06,2.611439197767938,1.189741784627615,40355775150,40355776629,40355776254,40355777649,1
871,871,1614231150,1614231246,50.52967460000001,14.0707964,50.5292084,14.0722202,Hala schlosser,budova,A-03,sklad,2021-02-25 05:32:30,2.919438180967314,0.6035255376018732,40355778750,40355780105,40355779729,40355781149,1
872,872,1614231324,1614231418,50.529664200000006,14.0708037,50.5290755,14.0724847,,,,,2021-02-25 05:35:24,2.848840616061383,1.3870159006145082,40355783100,40355784456,40355784079,40355785449,1
873,873,1614231456,1614231544,50.5297341,14.0708929,50.529087,14.0724891,,,,,2021-02-25 05:37:36,2.7562489026171915,1.1353483046899358,40355786400,40355787879,40355787504,40355788599,1
874,874,1614231587,1614231676,50.5296689,14.0707768,50.5290779,14.0724859,Hala schlosser,budova,,,2021-02-25 05:39:47,2.832546720231849,0.603682971386178,40355789675,40355790954,40355790554,40355791899,1
875,875,1614231717,1614231806,50.5296635,14.0707672,50.5290747,14.0724842,Hala schlosser,budova,,,2021-02-25 05:41:57,3.352985123397217,1.115035883469112,40355792925,40355794179,40355793829,40355795149,1
876,876,1614231847,1614231979,50.5292395,14.0708692,50.5291191,14.072397199999996,B-01 07-12,sklad,,,2021-02-25 05:44:07,3.9684663281717265,0.7734657598610883,40355796175,40355798305,40355797905,40355799474,1
877,877,1614232032,1614232114,50.5296821,14.0707922,50.5290883,14.0724828,Hala schlosser,budova,,,2021-02-25 05:47:12,1.6759965169499822,1.2344070799474307,40355800800,40355802129,40355801755,40355802849,1
878,878,1614232154,1614232242,50.5296584,14.0707797,50.5290827,14.0724696,,,,,2021-02-25 05:49:14,1.1778757318290864,0.9726744668332404,40355803850,40355805154,40355804779,40355806049,1
879,879,1614232282,1614232374,50.5296727,14.0707786,50.529082,14.0724669,Hala schlosser,budova,,,2021-02-25 05:51:22,1.5487791439189595,1.50989605345351,40355807050,40355808354,40355807954,40355809349,1
880,880,1614232651,1614232739,50.5296918,14.0707991,50.5290903,14.0724845,Hala schlosser,budova,,,2021-02-25 05:57:31,3.9220773217357006,0.9796101612452294,40355816275,40355817529,40355817178,40355818474,1
881,881,1614232780,1614232860,50.5296712,14.0707957,50.5290725,14.0724948,,,,,2021-02-25 05:59:40,2.9559607621405486,0.8637920520937274,40355819500,40355820778,40355820429,40355821499,1
882,882,1614232902,1614232991,50.52964779999999,14.0707821,50.5290925,14.0724398,,,,,2021-02-25 06:01:42,1.5828207497560285,0.8333867060941473,40355822550,40355823805,40355823454,40355824774,1
883,883,1614233028,1614233120,50.5296646,14.0707836,50.5290795,14.072463399999998,Hala schlosser,budova,,,2021-02-25 06:03:48,2.7991340570949528,0.46151399759733414,40355825700,40355827129,40355826779,40355827999,1
884,884,1614233288,1614233380,50.5296679,14.0707842,50.5291089,14.0723848,Hala schlosser,budova,,,2021-02-25 06:08:08,1.859370609172034,1.0429002569788028,40355832200,40355833479,40355833129,40355834499,1
885,885,1614233420,1614233493,50.5296835,14.0707734,50.52908970000001,14.0724824,Hala schlosser,budova,,,2021-02-25 06:10:20,1.0214065468956497,0.9349440608903071,40355835500,40355836754,40355836405,40355837324,1
886,886,1614233640,1614233725,50.529676,14.0707783,50.52910720000001,14.0724145,Hala schlosser,budova,,,2021-02-25 06:14:00,1.9110739501248366,0.45530183906901306,40355841000,40355842254,40355841879,40355843124,1
887,887,1614233762,1614233848,50.5296815,14.070786600000002,50.5290813,14.0724945,Hala schlosser,budova,,,2021-02-25 06:16:02,1.2325784483547981,0.1914389401432742,40355844050,40355845379,40355844954,40355846199,1
888,888,1614233983,1614234092,50.5296816,14.0707865,50.5290888,14.0724655,Hala schlosser,budova,,,2021-02-25 06:19:43,2.0458632466981053,2.1309000226970416,40355849575,40355851278,40355850904,40355852299,1
889,888,1614233983,1614234092,50.52968120000001,14.0707829,50.5290888,14.0724655,,,,,2021-02-25 06:19:43,2.0458632466981053,2.1309000226970416,40355849575,40355851278,40355850904,40355852299,1
890,889,1614234216,1614234316,50.5296737,14.0708003,50.529114,14.0724407,Hala schlosser,budova,,,2021-02-25 06:23:36,2.8650306197057835,0.3946172220541063,40355855400,40355856729,40355856329,40355857899,1
891,890,1614234358,1614234461,50.5296719,14.0707884,50.5290971,14.0724708,Sklad XXX palet,sklad,,,2021-02-25 06:25:58,3.09679929330609,1.2425553193737864,40355858950,40355860304,40355859954,40355861524,1
892,891,1614234554,1614234644,50.5307546,14.068648,50.5299448,14.0701689,,,,,2021-02-25 06:29:14,159.61534372499585,122.97775604166121,40355863850,40355865779,40355865779,40355866099,-1
893,892,1614234661,1614234755,50.529678,14.0708327,50.529145,14.0724078,,,,,2021-02-25 06:31:01,2.777735811075085,3.1568190173211788,40355866525,40355867879,40355867479,40355868874,1
894,893,1614234797,1614234886,50.5296685,14.0708006,50.5291133,14.0724382,Hala schlosser,budova,,,2021-02-25 06:33:17,1.715481622364792,0.6103026344362736,40355869925,40355871154,40355870779,40355872149,1
895,894,1614234927,1614235001,50.5296753,14.0707864,50.5291054,14.0724774,,,,,2021-02-25 06:35:27,2.3618822804601534,0.9722561236791529,40355873175,40355874404,40355874054,40355875024,1
896,895,1614235083,1614235163,50.5296778,14.0708062,50.52914000000001,14.072416699999998,Sklad XXX palet,sklad,,,2021-02-25 06:38:03,2.918594627005275,0.9466684461256465,40355877075,40355878303,40355877955,40355879074,1
897,896,1614235265,1614235366,50.5307552,14.0686276,50.52993729999999,14.0702038,Hala schlosser,budova,,,2021-02-25 06:41:05,162.7258972085757,126.50231113668978,40355881625,40355884129,40355884129,40355884149,-1
898,897,1614235383,1614235482,50.5296856,14.0708103,50.5290912,14.072452599999998,,,,,2021-02-25 06:43:03,0.31064218194937093,0.4308533956252599,40355884575,40355886280,40355885878,40355887049,1
899,898,1614235814,1614235906,50.5297003,14.070884,50.529126,14.0724303,,,A-02,sklad,2021-02-25 06:50:14,0.5766362743132473,0.5342869116385859,40355895350,40355896704,40355896329,40355897649,1
900,899,1614235971,1614236078,50.5296745,14.070816699999998,50.528949,14.0724438,,,A-02,sklad,2021-02-25 06:52:51,1.6472476867344334,1.039544821714206,40355899275,40355900529,40355900155,40355901949,1
901,900,1614236147,1614236234,50.5296972,14.070840400000002,50.5289775,14.072474,,,A-02,sklad,2021-02-25 06:55:47,0.736280274706683,0.5865689305273911,40355903675,40355904905,40355904554,40355905849,1
902,901,1614236304,1614236399,50.5296808,14.070824800000002,50.5289831,14.0724649,Hala schlosser,budova,A-02,sklad,2021-02-25 06:58:24,2.8140550329338865,1.2347116659734387,40355907600,40355909129,40355908779,40355909974,1
903,902,1614236447,1614236540,50.5296912,14.070804999999998,50.5289666,14.0724592,Hala schlosser,budova,,,2021-02-25 07:00:47,3.145686431749938,1.4624229271959834,40355911175,40355912454,40355912104,40355913499,1
904,903,1614236586,1614236687,50.5296827,14.0707929,50.52854179999999,14.069969199999996,Hala schlosser,budova,A-02,sklad,2021-02-25 07:03:06,57.76573416760963,21.287651907913556,40355914650,40355915504,40355915504,40355917174,-1
905,904,1614236861,1614236965,50.5296787,14.0707967,50.5289481,14.0724389,Hala schlosser,budova,A-02,sklad,2021-02-25 07:07:41,3.3926174003940957,1.1685744007237717,40355921525,40355922979,40355922604,40355924124,1
906,904,1614236861,1614236965,50.5296787,14.0707967,50.5289481,14.0724389,Hala schlosser,budova,A-02,sklad,2021-02-25 07:07:41,3.3926174003940957,1.1685744007237717,40355921525,40355922979,40355922604,40355924124,1
907,905,1614237188,1614237292,50.5296862,14.0708087,50.5290041,14.0725037,,,A-02,sklad,2021-02-25 07:13:08,1.8280014020460913,1.7039158382850295,40355929700,40355931029,40355930654,40355932299,1
908,906,1614237339,1614237433,50.5296828,14.0707951,50.5289937,14.072490300000002,Hala schlosser,budova,A-02,sklad,2021-02-25 07:15:39,1.6207854544777944,1.3804687636692718,40355933475,40355934829,40355934479,40355935824,1
909,907,1614237562,1614237659,50.52966970000001,14.070801,50.5289883,14.0724831,Hala schlosser,budova,A-02,sklad,2021-02-25 07:19:22,2.3921435873852332,0.6443761286471363,40355939050,40355940329,40355939967,40355941474,1
910,908,1614237906,1614238004,50.52968370000001,14.0707851,50.5289567,14.0724515,Hala schlosser,budova,A-02,sklad,2021-02-25 07:25:06,3.272840352184174,1.0707492881971266,40355947650,40355949054,40355948679,40355950099,1
911,909,1614238058,1614238167,50.52967720000001,14.0707756,50.5290216,14.0725065,Hala schlosser,budova,,,2021-02-25 07:27:38,3.1481853377103,1.0041833035057817,40355951450,40355952954,40355952604,40355954174,1
912,910,1614238212,1614238290,50.529680600000006,14.070791,50.5290146,14.0725118,Hala schlosser,budova,A-02,sklad,2021-02-25 07:30:12,4.680936201241007,1.3292923907667045,40355955300,40355956504,40355956129,40355957249,1
913,911,1614238338,1614238434,50.5296805,14.0707894,50.5290754,14.072564800000002,Hala schlosser,budova,A-02,sklad,2021-02-25 07:32:18,1.7698549571563535,0.6867387799200209,40355958450,40355959679,40355959279,40355960849,1
914,912,1614238559,1614238649,50.5296779,14.070804,50.5289808,14.0724655,Hala schlosser,budova,A-02,sklad,2021-02-25 07:35:59,6.639280216546125,1.6488852128751976,40355963975,40355965229,40355964855,40355966224,1
915,913,1614238708,1614238806,50.5296885,14.0707968,50.52902589999999,14.072509099999998,Hala schlosser,budova,,,2021-02-25 07:38:28,3.154024022070239,1.1257750198573946,40355967700,40355968979,40355968604,40355970149,1
916,914,1614238947,1614239059,50.5296782,14.070791,50.5289411,14.0724519,,,A-02,sklad,2021-02-25 07:42:27,0.6352467134311958,1.950270451616834,40355973675,40355975004,40355974629,40355976474,1
917,915,1614239157,1614239255,50.52967329999999,14.0707799,50.529064,14.0725732,Hala schlosser,budova,,,2021-02-25 07:45:57,2.0214001746354517,1.7785397363615216,40355978925,40355980278,40355979929,40355981374,1
918,916,1614239461,1614239552,50.5296627,14.0708511,50.5290045,14.0724852,,,,,2021-02-25 07:51:01,1.7084254002995523,2.2660200123867456,40355986525,40355987728,40355987378,40355988799,1
919,917,1614239628,1614239738,50.5296725,14.0707897,50.52907570000001,14.0725335,Hala schlosser,budova,,,2021-02-25 07:53:48,1.5767289493961258,0.8785002503407973,40355990700,40355992105,40355991730,40355993449,1
920,918,1614239782,1614239877,50.5296676,14.070805599999998,50.5290578,14.0725628,Sklad XXX palet,sklad,,,2021-02-25 07:56:22,2.223266993531922,0.47948865134151447,40355994550,40355995829,40355995480,40355996924,1
921,919,1614239918,1614240007,50.529672,14.0707945,50.5290623,14.072580800000004,,,A-02,sklad,2021-02-25 07:58:38,2.4571135572498846,1.671031824133614,40355997950,40355999154,40355998804,40356000174,1
922,920,1614240198,1614240271,50.5307552,14.068618300000002,50.5299055,14.0701372,,,,,2021-02-25 08:03:18,161.642861344973,124.8694868612481,40356004950,40356006429,40356006429,40356006774,-1
