time,accX,accY,accZ,gyroX,gyroY,gyroZ,d_uncMagX,d_uncMagY,d_uncMagZ
0,0.119203,0.0743461,0.0303968,-0.00429432,0.0122404,0.100967,-0.0214292,0.0945278,0.0569246
0.4576,0.172085,0.0948974,0.134563,-0.0192269,-0.0619583,0.331342,0.0141524,0.171457,0.0757808
0.9152,0.146917,0.0881815,0.0111988,-0.00432361,-0.0421253,0.280008,0.0366626,0.185164,0.00351151
1.3728,0.166267,0.0902421,0.170104,-0.0259641,-0.0355038,0.312017,0.0593682,0.189248,0.0376927
1.8304,0.182893,0.0990845,0.126947,-0.014845,-0.0222238,0.225422,0.0276407,0.15383,-0.0203918
2.288,0.128133,0.101713,0.250412,-0.0186355,-0.02858,0.0720333,0.0576182,0.0869371,0.0907889
2.7456,0.0317699,0.119421,-0.0948954,0.00874252,-0.016231,0.0076351,0.0263719,0.0110923,-0.0435214
3.2032,0.0496412,0.174582,-0.105278,0.00441651,0.0102988,0.0121895,-0.00772516,0.0332835,-0.040012
3.6608,0.0274693,0.239093,0.193696,-0.0072628,-0.0312079,0.0965399,0.0374632,0.00612616,0.0294454
4.1184,0.10507,0.238681,0.0835256,-0.0115964,-0.009436,0.197336,0.0296609,0.0423882,0.0225335
4.576,0.109239,0.223925,0.150815,2.98078e-06,-0.0442357,0.208601,0.0597822,0.0656495,0.00901665
5.0336,0.0946044,0.169719,0.146828,-0.00182078,-0.0156651,0.229608,0.0667599,0.113004,0.0182083
5.4912,0.10916,0.196675,0.0759141,-0.0247022,-0.0347371,0.19382,0.07983,0.0624592,0.0360518
5.9488,0.0941781,0.163807,0.13009,-0.00739116,-0.00867088,0.205978,0.070723,0.0461437,0.060309
6.4064,0.128629,0.183353,0.104917,-0.00648937,-0.0305758,0.135767,0.0933244,0.0193659,0.0939814
6.864,0.0779592,0.162304,0.171705,-0.00872372,-0.0136015,0.0365856,0.0294526,0.0552957,-0.0302215
7.3216,0.0433244,0.161725,0.0954146,-0.00472201,-0.016909,-0.029994,0.0249159,-0.0376278,0.0486808
7.7792,0.00230327,0.149393,0.184705,0.00569847,0.0454663,-0.0374611,-0.0009925,-0.0376543,0.0740228
8.2368,0.0598087,0.212237,-0.00324834,0.0090903,0.0152537,-0.0825318,-0.0505049,0.0238254,-0.0895732
8.6944,0.00542525,0.157818,0.0658611,0.019204,0.0150412,-0.0853664,-0.0294025,-0.00435335,-0.0162666
9.152,0.0386666,0.182225,0.175219,-0.000743798,0.0223999,-0.111554,-0.0483763,-0.0376661,0.000612232
9.6096,0.00112482,0.203103,0.216914,0.00547955,0.0150424,-0.0849096,-0.0732521,-0.0149347,-0.0756008
10.0672,0.0560965,0.180078,0.116919,0.00556186,0.0436201,-0.0960649,-0.0521098,-0.0242069,0.00992311
10.5248,0.0390659,0.163038,0.0686359,0.00568345,-0.00338239,-0.0789032,-0.0909582,-0.00731635,-0.0842549
10.9824,0.0420944,0.161611,0.150089,0.00867425,0.0171923,-0.0779073,0.0125741,-0.0215112,0.006519
11.44,0.0462749,0.182129,0.0260893,0.00776338,0.00778866,-0.0777853,0.00145286,-0.0229282,0.0593666
11.8976,0.0452906,0.20019,0.129774,0.01657,0.0169553,-0.151896,-0.0239147,-0.0371662,0.0124984
12.3552,0.0167388,0.140308,0.0681911,0.0117812,0.0138862,-0.172674,-0.0611143,-0.0551097,-0.0472223
12.8128,0.0314382,0.165783,0.0618264,0.00987229,0.0290386,-0.165046,-0.0553399,-0.0788602,-0.0121376
13.2704,0.0256456,0.159614,0.0650669,0.00747148,0.0103429,-0.147572,-0.0495752,-0.0574325,-0.0925592
13.728,0.0405823,0.177169,0.106901,0.00568222,0.0216971,-0.130077,-0.0385201,-0.0635361,-0.0145295
14.1856,0.0185101,0.16273,0.0693128,0.00199809,0.00808068,-0.0809774,-0.042182,-0.0453113,-0.0707737
14.6432,0.0393251,0.165095,0.108214,0.00414379,0.0077934,-0.0122981,-0.0477338,-0.0215766,-0.0417963
15.1008,0.0529216,0.149604,0.1534,0.00206053,-0.0148983,-0.0069424,-0.00694705,-0.00154282,0.00555734
15.5584,0.0380143,0.152307,-0.0661705,-0.00148418,-0.00264401,-0.00593993,0.0115669,-0.0112713,-0.00451833
16.016,0.0419337,0.133675,0.163172,0.000238125,0.0178888,-0.00851735,-0.011918,-0.0138668,-0.00777537
16.4736,0.0450248,0.147333,-0.0364539,-0.00215446,0.00201134,-0.00746546,0.018457,-0.0239364,0.0510116
16.9312,0.0399427,0.141752,0.0934015,0.00191562,-0.0023981,-0.00708499,0.0306668,-0.0112883,0.0183049
17.3888,0.0475191,0.162839,0.319639,-0.00145878,0.000429145,-0.00661395,-0.0176939,-0.000223303,-0.00728071
17.8464,0.0508713,0.148468,-0.105162,0.00391423,-0.0282049,-0.00279333,0.0386475,-0.0210233,0.0397299
18.304,0.0547181,0.147424,0.132402,0.000618895,-0.00501863,-0.00432355,-0.00933117,-0.018781,0.0311281
18.7616,0.0468759,0.116599,0.148781,0.0036398,0.00174123,-0.00131243,-0.0534164,0.00634176,-0.0676885
19.2192,0.0523163,0.0326172,-0.194842,-0.00127863,-0.00927063,-0.00684153,0.0326426,0.00552985,0.0550512
19.6768,0.0314953,0.00181298,-0.071194,-0.00550816,-0.00334483,-0.00618534,-0.00241603,-0.00201757,-0.027106
20.1344,0.0400897,0.0673836,-0.0784881,-0.00147948,-0.00704011,-0.00396299,-0.0324089,0.00372954,-0.0767009
20.592,0.0296255,0.0395862,0.0187132,0.00521822,0.00307468,0.00492059,0.0110502,-0.0136298,-0.0013026
21.0496,0.0542455,0.0897109,-0.117903,-0.0114809,-0.00614045,-0.0158088,-0.0394015,0.00515642,-0.0441517
21.5072,0.00766757,0.0807551,-0.0533241,0.0128422,-0.00526388,-0.0504826,-0.0125003,-0.0292192,-0.000395745
21.9648,0.0399772,0.0922905,-0.340883,0.0126134,0.00550209,-0.028882,-0.0612666,0.0558858,-0.0334171
22.4224,0.017114,0.0720968,-0.0651007,-0.0131863,-0.0202768,-0.0132681,0.0173874,0.0407185,0.0444557
22.88,0.00605825,0.116257,-0.0280085,-0.00477227,0.020562,-0.0225981,0.0349092,-0.00176208,0.0364222
23.3376,0.0291149,0.0850286,-0.206433,0.00909542,0.00698951,-0.0196291,0.0250787,-0.0316218,0.0408901
23.7952,0.0133191,0.172821,0.132749,0.000668567,-0.0012983,0.0200066,0.0164719,-0.00964466,0.00426844
24.2528,0.0300226,0.192712,0.233033,-0.0191554,-0.0289899,0.153735,0.0424614,0.00995535,0.0416643
24.7104,0.084187,0.217411,0.0666724,-0.0029511,-0.00857916,0.320858,0.0501492,0.0907241,0.0223042
25.168,0.177792,0.20898,0.144707,-0.0209122,-0.0791093,0.538105,0.086438,0.173957,0.0821153
25.6256,0.182659,0.209578,0.147809,-0.0361161,-0.0969355,0.645376,0.228323,0.219284,0.118078
26.0832,0.143516,0.273714,0.303644,-0.0244423,-0.0631735,0.551146,0.257745,0.135061,0.079202
26.5408,0.0976151,0.283902,0.291434,-0.0227464,-0.0711585,0.574177,0.19093,0.0676804,0.0136629
26.9984,0.112203,0.125197,0.0122174,-0.0227511,-0.0851991,0.580339,0.254005,-0.0305006,0.0537651
27.456,0.115352,0.213128,0.181691,-0.00679847,-0.0183387,0.160659,0.178316,-0.111438,0.0445066
27.9136,0.0526601,0.109091,0.0120183,0.004753,0.0112946,-0.013939,0.00780736,-0.0943268,0.0211336
28.3712,0.0634112,0.204534,0.0169917,0.00551793,0.0168851,-0.00249048,-0.00838609,-0.0753617,0.0370292
